number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,params_scale_pos_weight,state
44,0.07620367498805311,2026-07-13 14:06:13.825317,2026-07-13 14:06:20.328532,0 days 00:00:06.503215,1.9208858292594218,64,8,600,13.942594328205542,0.10968595705803567,0.030594959904135827,21.58824176830516,PRUNED
45,0.09535521263671955,2026-07-13 14:06:20.329506,2026-07-13 14:06:25.137960,0 days 00:00:04.808454,1.930713420583081,64,9,300,0.6522147084281801,0.08938860460976025,0.011920658978680242,14.016045550287568,COMPLETE
46,0.02334641983738123,2026-07-13 14:06:25.139019,2026-07-13 14:06:28.391688,0 days 00:00:03.252669,4.700324678787593,254,5,1100,0.01540709071671352,0.009422004324930861,0.30259731083158126,217.58305247175173,PRUNED
47,0.08249260885120946,2026-07-13 14:06:28.392667,2026-07-13 14:06:41.707461,0 days 00:00:13.314794,2.249754940236941,128,9,900,20.07194796168378,0.10512732657337458,0.001038619096264187,24.08641366561804,COMPLETE
48,0.09557532503903987,2026-07-13 14:06:41.708356,2026-07-13 14:06:48.308246,0 days 00:00:06.599890,1.8528865116099906,32,9,500,3.849601229336759,0.0433209408916382,0.191957862681741,19.120552467220318,COMPLETE
49,0.06213055622798403,2026-07-13 14:06:48.309124,2026-07-13 14:07:01.252017,0 days 00:00:12.942893,2.7579447052218864,254,9,900,0.6684073016493793,0.03267414786457859,0.012876765380185264,16.806786692761317,PRUNED
50,0.06840492889024422,2026-07-13 14:07:01.252830,2026-07-13 14:07:05.752297,0 days 00:00:04.499467,1.3615322978870843,64,9,300,4.815924505737763,0.06457455229173911,0.0030243646302473065,37.56947047323198,PRUNED
51,0.09677551247071062,2026-07-13 14:07:05.753143,2026-07-13 14:07:11.011953,0 days 00:00:05.258810,2.2855754698331645,128,8,600,1.7503932779834424,0.019732887841560492,0.0015491299993670314,22.181305182922355,COMPLETE
52,0.02718724278889948,2026-07-13 14:07:11.013105,2026-07-13 14:07:12.041871,0 days 00:00:01.028766,2.555036728028841,254,4,300,0.03178300172257338,0.05109460916817946,0.3259363289272905,135.33383758492323,PRUNED
53,0.0313493733453438,2026-07-13 14:07:12.042963,2026-07-13 14:07:26.864549,0 days 00:00:14.821586,3.7696839696142854,128,8,1800,0.002182476165702136,0.05557770931251297,0.08915548619319222,23.769542013305177,PRUNED
54,0.1034864561489717,2026-07-13 14:07:26.865381,2026-07-13 14:07:36.988143,0 days 00:00:10.122762,1.5184173298587824,128,9,700,2.909567207786604,0.04302212641273956,0.001583602014582231,16.024269030366327,COMPLETE
55,0.06255412812485035,2026-07-13 14:07:36.988995,2026-07-13 14:07:49.582732,0 days 00:00:12.593737,1.6650941452084902,128,9,900,0.08815848058536827,0.03657737200274654,0.0011343296793225567,21.05949789419932,PRUNED
56,0.046951797262888575,2026-07-13 14:07:49.583537,2026-07-13 14:08:13.182289,0 days 00:00:23.598752,0.1801430497578922,64,9,1700,0.01547973980238698,0.005624051323432552,0.02013467195471415,78.58777619502725,PRUNED
57,0.03850219291759431,2026-07-13 14:08:13.183449,2026-07-13 14:08:23.111599,0 days 00:00:09.928150,0.6269297970393264,32,8,1300,0.0032868057489057246,0.10765481815043852,0.0023916485526514378,122.91840736612046,PRUNED
58,0.059826822505259336,2026-07-13 14:08:23.112422,2026-07-13 14:08:30.405127,0 days 00:00:07.292705,1.2107729605722757,128,8,900,0.4043079292379972,0.09513984300535268,0.0016661900849386387,14.291784824391739,PRUNED
59,0.03122667836697015,2026-07-13 14:08:30.405936,2026-07-13 14:08:35.600566,0 days 00:00:05.194630,4.78175040103082,254,6,1400,0.25248689632283483,0.0885208846980228,0.36683863774222697,24.87829656532873,PRUNED
