number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
33,0.12095106232078479,2026-07-16 12:10:44.805165,2026-07-16 12:10:47.477491,0 days 00:00:02.672326,0.9107586637160502,1.1109938107486516e-06,0.12391231078161655,10,8,1.1649182276449117,1100,1.2433400499208064e-08,0.017704499188956602,20.11286517609386,0.8111677114447639,COMPLETE
34,0.12374854502689168,2026-07-16 12:10:47.478387,2026-07-16 12:10:50.465463,0 days 00:00:02.987076,0.813832357937587,2.530717696782203e-06,0.036866775215418174,10,8,6.124005490180173,1200,1.6377706803839487e-07,0.005123314870703792,20.723689240687552,0.9180337001215387,COMPLETE
35,0.09502897334513795,2026-07-16 12:10:50.466341,2026-07-16 12:10:52.994788,0 days 00:00:02.528447,0.7526430880293932,1.7845883192557316e-06,0.04164182657580195,2,9,0.529361450644679,900,2.704312818108807e-05,0.001779357984920562,26.347329218365747,0.9304206845768523,PRUNED
36,0.07639018446227724,2026-07-16 12:10:52.996302,2026-07-16 12:10:54.233266,0 days 00:00:01.236964,0.7459252714399934,2.0963770838780745e-06,0.022521454718837455,10,7,9.408453019983199,800,4.2763300520215846e-08,0.016530654441296866,18.73023442528594,0.9412523209814403,PRUNED
37,0.07222625964232465,2026-07-16 12:10:54.234450,2026-07-16 12:10:55.789692,0 days 00:00:01.555242,0.9210214928199271,1.4193461880477529e-05,0.06315077645254154,0,6,17.753922329347436,1300,1.1540946763487525e-06,0.008133811728382536,21.631342355620262,0.7898862271360768,PRUNED
38,0.07692880793978266,2026-07-16 12:10:55.790620,2026-07-16 12:10:57.699675,0 days 00:00:01.909055,0.6804366849558555,1.3595029385743502e-05,0.046916491635527746,10,9,12.070203780768074,1600,5.877264335590226e-07,0.0030797168294140163,17.394985536492722,0.9213900379876977,PRUNED
39,0.11742848623178481,2026-07-16 12:10:57.700651,2026-07-16 12:10:59.500896,0 days 00:00:01.800245,0.8475152977157389,2.9179002223294123e-05,0.13242456245035186,2,9,25.019141713898755,400,5.683888119859656e-07,0.05006173368993556,29.803819513902045,0.6884215789938433,COMPLETE
40,0.07603897830918753,2026-07-16 12:10:59.503253,2026-07-16 12:11:01.586958,0 days 00:00:02.083705,0.9983846049306657,0.00011848184120012733,0.1403654970337092,5,3,6.882714308570367,1500,4.9393295779647674e-08,0.022045509692913166,15.664498941311681,0.6850571388691413,PRUNED
41,0.11695306558007657,2026-07-16 12:11:01.588030,2026-07-16 12:11:03.785559,0 days 00:00:02.197529,0.8108065066592492,8.855349632055261e-07,0.10286361922427645,10,7,0.8985543196077864,700,5.009065233928812e-07,0.013726243308965644,20.89013882047504,0.7868857682319811,COMPLETE
42,0.11256596581211395,2026-07-16 12:11:03.786655,2026-07-16 12:11:07.849213,0 days 00:00:04.062558,0.8587898848887219,7.20028780649928e-07,0.03854492774745898,10,7,3.159480204664875,1600,1.871698544077219e-08,0.012696258830585356,52.53387404857698,0.8642016935232798,COMPLETE
